gender,word,possesive
male,he,his
female,she,her
male,howard,howard's
female,penny,penny's
male,leonard,leonard's
male,sheldon,sheldon's
male,raj,raj's
male,rajesh,rajesh's
female,amy,amy's
female,bernadette,bernadette's
male,stuart,stuart's
male,zack,zack's
female,emily,emily's
female,leslie,leslie's
male,barry,barry's
female,stephanie,stephanie's
female,missy,missy's
female,alex,alex's
female,elizabeth,elizabeth's
female,plimpton,plimpton's
female,priya,priya's
female,lucy,lucy's
male,bert,bert's
male,man,man's
female,woman,woman's
male,male,male's
female,female,female's
male,cooper,cooper's
male,hofstadter,hofstadter's
male,wolowitz,wolowitz's
male,koothrappali,koothrappali's
female,farrah,farrah's
female,fowler,fowler's
male,kripke,kripke's
